変更区分,病名管理番号,病名表記,病名表記カナ,採択区分,病名交換用コード,ICD10-2013-1,ICD10-2013-2,予備1,予備2,レセ電算コード,傷病名省略名称,使用分野,変更履歴番号,変更日付,移行先病名管理番号,単独使用禁止区分,保険請求外区分,予備３,予備４
0,20052722,"ビタミンＢ１２欠乏症","ビタミンＢ１２ケツボウショウ",1,"JN54","E538","","517",,8839494,"ビタミンＢ１２欠乏症",1,210,20020601,,"00",0,"",""
0,20052724,"ビタミンＢ１２欠乏性貧血","ビタミンＢ１２ケツボウセイヒンケツ",1,"U00T","D519","","517",,8839495,"ビタミンＢ１２欠乏性貧血",1,210,20020601,,"00",0,"",""
0,20105095,"ビタミンＢ１２欠乏性末梢神経障害","ビタミンＢ１２ケツボウセイマッショウシンケイショウガイ",1,"Q1U0","E538","G634","517",,8850907,"ビタミンＢ１２欠乏性末梢神経障害",1,508,20220101,,"00",0,"",""
0,20097982,"ビタミンＢ１２反応型メチルマロン酸血症","ビタミンＢ１２ハンノウガタメチルマロンサンケッショウ",1,"H6QF","E711","","517",,8847252,"ビタミンＢ１２反応型メチルマロン酸血症",1,305,20120601,,"00",0,"",""
0,20052725,"ビタミンＢ１欠乏症","ビタミンＢ１ケツボウショウ",1,"VGKL","E519","","517",,8839496,"ビタミンＢ１欠乏症",1,210,20020601,,"00",0,"",""
0,20105085,"ビタミンＢ１欠乏性筋肉痛","ビタミンＢ１ケツボウセイキンニクツウ",1,"NN13","E518","M7919","517",,8850908,"ビタミンＢ１欠乏性筋肉痛",1,508,20220101,,"00",0,"",""
0,20105087,"ビタミンＢ１欠乏性神経痛","ビタミンＢ１ケツボウセイシンケイツウ",1,"KVVJ","E518","M7929","517",,8850909,"ビタミンＢ１欠乏性神経痛",1,508,20220101,,"00",0,"",""
0,20105089,"ビタミンＢ１欠乏性末梢神経炎","ビタミンＢ１ケツボウセイマッショウシンケイエン",1,"PFTE","E518","G634","517",,8850910,"ビタミンＢ１欠乏性末梢神経炎",1,508,20220101,,"00",0,"",""
0,20052726,"ビタミンＢ２欠乏症","ビタミンＢ２ケツボウショウ",1,"MH8L","E530","","517",,8839497,"ビタミンＢ２欠乏症",1,210,20020601,,"00",0,"",""
0,20105091,"ビタミンＢ２欠乏性角膜炎","ビタミンＢ２ケツボウセイカクマクエン",1,"CJ0C","E530","H193","517",,8850911,"ビタミンＢ２欠乏性角膜炎",1,508,20220101,,"00",0,"",""
0,20105093,"ビタミンＢ２欠乏性口内炎","ビタミンＢ２ケツボウセイコウナイエン",1,"V2QG","E530","K938","517",,8850912,"ビタミンＢ２欠乏性口内炎",1,508,20220101,,"00",0,"",""
0,20105701,"ビタミンＢ６依存性てんかん","ビタミンＢ６イゾンセイテンカン",1,"TNJ5","G408","","517",,8851020,"ビタミンＢ６依存性てんかん",1,510,20220601,,"00",0,"",""
