field_name,source_table_name,source_field_name,source_code,source_code_description,source_vocabulary_id,source_domain_id,reccount,stcm,std_mapped,rn,source_concept_id,source_concept_name,source_concept_vocabulary_id,source_concept_domain_id,source_concept_class_id,target_concept_id,target_concept_name,target_concept_vocabulary_id,target_concept_domain_id,target_concept_class_id,target_standard_concept,target_valid_start_date,target_valid_end_date,target_invalid_reason
drug_source_value,InjectionData,inj_medicine_cd_yj,3231401H7104,3231401H7104|101557709|50％ブドウ糖注（20mL）,RINCHU_DRUG,Drug,2627,Y,Y,1,0,No matching concept,None,Metadata,Undefined,36249592,glucose Injection,RxNorm,Drug,Clinical Drug Form,S,2016-08-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,4240400D1030,4240400D1030|109187802|(癌)オンコビン注 （1mg）,RINCHU_DRUG,Drug,2550,Y,Y,1,0,No matching concept,None,Metadata,Undefined,42939712,Vincristine 1 MG Injection,RxNorm Extension,Drug,Clinical Drug,S,2018-08-21,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3919502A1406,3919502A1406|108472603|グリファーゲン静注 20mL,RINCHU_DRUG,Drug,2487,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35160344,"Glycine / Glycyrrhizin, Ammoniated / l-cysteine Injectable Solution",RxNorm Extension,Drug,Clinical Drug Form,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3929400A3238,3929400A3238|108538902|メイロン静注 7% 20mL1管,RINCHU_DRUG,Drug,2473,Y,Y,1,0,No matching concept,None,Metadata,Undefined,1593935,sodium bicarbonate Injection,RxNorm,Drug,Clinical Drug Form,S,2017-08-07,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,6179400D1039,6179400D1039|126984001|ミカファンギンNa点滴静注用50mg「サワイ」,RINCHU_DRUG,Drug,2462,Y,Y,1,0,No matching concept,None,Metadata,Undefined,40164950,micafungin 50 MG Injection,RxNorm,Drug,Clinical Drug,S,2009-09-06,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3213400A3043,3213400A3043|107272302|カルチコール（8.5％ 10mL）,RINCHU_DRUG,Drug,2459,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35135310,Calcium Gluconate 85 MG/ML Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,4291439A1027,"4291439A1027|125892901|癌）リツキシマブBS点滴静注（100,500mg）「KHK」",RINCHU_DRUG,Drug,2372,Y,Y,1,0,No matching concept,None,Metadata,Undefined,43028127,rituximab 100 MG Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2019-10-06,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3259534G3026,3259534G3026|124475501|(2000mL)エルネオパNF【2号】輸液,RINCHU_DRUG,Drug,2360,Y,U,1,0,No matching concept,None,Metadata,Undefined,0,No matching concept,None,Metadata,Undefined,,1970-01-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,6132401D4206,6132401D4206|110974001|セファゾリンNa注射用2g「NP」,RINCHU_DRUG,Drug,2346,Y,U,1,0,No matching concept,None,Metadata,Undefined,0,No matching concept,None,Metadata,Undefined,,1970-01-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3319510A5098,3319510A5098|107755101|ソルデム３Ａ注（200mL）,RINCHU_DRUG,Drug,2344,Y,Y,1,0,No matching concept,None,Metadata,Undefined,42957595,Glucose / Lactate / Potassium Chloride / Sodium Chloride Injectable Solution,RxNorm Extension,Drug,Clinical Drug Form,S,2018-08-21,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2499403A2050,2499403A2050||オクトレオチド皮下注１００μｇ「あすか」,RINCHU_DRUG,Drug,2231,Y,Y,1,0,No matching concept,None,Metadata,Undefined,46234196,octreotide 0.1 MG/ML Injection,RxNorm,Drug,Clinical Drug,S,2015-07-06,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2499407G4029,2499407G4029|124449601|ﾘｭｰﾌﾟﾘﾝPRO注ｷｯﾄ（22.5mg）,RINCHU_DRUG,Drug,2176,Y,Y,1,0,No matching concept,None,Metadata,Undefined,36891722,Leuprolide 22.5 MG Prefilled Syringe,RxNorm Extension,Drug,Clinical Drug,S,2017-08-24,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3136401A1192,3136401A1192|107110802|フレスミンS注(1000μg/1mL) 【VB12】,RINCHU_DRUG,Drug,2104,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35152665,Hydroxocobalamin 1 MG Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,6241402G1032,6241402G1032|126221601|レボフロキサシン点滴静注バッグ500mg｢DSEP｣,RINCHU_DRUG,Drug,2071,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35860708,levofloxacin 500 MG Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2020-10-02,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,4291441A1024,4291441A1024|125946901|(癌)テセントリク点滴静注(1200mg/20mL),RINCHU_DRUG,Drug,1991,Y,Y,1,0,No matching concept,None,Metadata,Undefined,42629087,atezolizumab 60 MG/ML Injection,RxNorm,Drug,Clinical Drug,S,2016-06-06,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3999423A3047,3999423A3047|123380301|ゾレドロン酸点滴静注バッグ（4mg/100mL),RINCHU_DRUG,Drug,1988,Y,Y,1,0,No matching concept,None,Metadata,Undefined,1593367,zoledronic acid 0.04 MG/ML Injection,RxNorm,Drug,Clinical Drug,S,2017-08-07,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,4235406D1020,4235406D1020|115107702|(癌)カルセド注（20、50mg）,RINCHU_DRUG,Drug,1917,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35129483,amrubicin hydrochloride 20 MG Injection,RxNorm Extension,Drug,Clinical Drug,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2456400D2098,2456400D2098|105282403|ソルメドロール注（125，500mg，1g）,RINCHU_DRUG,Drug,1895,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35606533,methylprednisolone 125 MG Injection,RxNorm,Drug,Clinical Drug,S,2016-05-02,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2452400D1084,2452400D1084|105187203|ソル・コーテフ注（100，500mg）,RINCHU_DRUG,Drug,1835,Y,Y,1,0,No matching concept,None,Metadata,Undefined,975505,hydrocortisone 100 MG Injection,RxNorm,Drug,Clinical Drug,S,1970-01-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3231401A1019,3231401A1019|107351502|5％ブドウ糖注（20mL）,RINCHU_DRUG,Drug,1803,Y,Y,1,0,No matching concept,None,Metadata,Undefined,36249735,glucose 50 MG/ML Injection,RxNorm,Drug,Clinical Drug,S,2016-08-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,8219400A3031,8219400A3031|118994001|ﾌｪﾝﾀﾆﾙ注(0.5mg/10mL),RINCHU_DRUG,Drug,1777,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35603429,fentanyl 0.05 MG/ML Injection,RxNorm,Drug,Clinical Drug,S,2016-05-02,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,8114401A2127,8114401A2127|185045101|塩酸モルヒネ注射液50mg/5mL(1%),RINCHU_DRUG,Drug,1733,Y,Y,1,0,No matching concept,None,Metadata,Undefined,43807217,5 ML Morphine 10 MG/ML Injectable Solution,RxNorm Extension,Drug,Quant Clinical Drug,S,2017-08-24,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2454404A1080,2454404A1080|105238101|リノロサール注（2，4mg）,RINCHU_DRUG,Drug,1696,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35139739,Betamethasone 2 MG Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3253406A4034,3253406A4034|107524301|アミパレン 200mL1袋,RINCHU_DRUG,Drug,1691,Y,Y,1,0,No matching concept,None,Metadata,Undefined,44055881,Alanine / Arginine / Aspartic Acid / Cysteine / Glutamate / Glycine / Histidine / Isoleucine / Leucine / Lysine / Methionine / Phenylalanine / Proline / Serine / Threonine / Tryptophan / Tyrosine / Valine Injection,RxNorm Extension,Drug,Clinical Drug Form,S,2017-08-24,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,8119400A1033,8119400A1033|126857701|オキシコドン注射液10mg「第一三共」,RINCHU_DRUG,Drug,1679,Y,Y,1,0,No matching concept,None,Metadata,Undefined,40232712,oxycodone hydrochloride 10 MG/ML Injectable Solution,RxNorm,Drug,Clinical Drug,S,2011-01-02,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,4291429A1023,4291429A1023|124179201|(癌)サイラムザ点滴静注液(100､500mg),RINCHU_DRUG,Drug,1671,Y,Y,1,0,No matching concept,None,Metadata,Undefined,46276428,ramucirumab 10 MG/ML Injection,RxNorm,Drug,Clinical Drug,S,2015-09-08,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,4229401A1023,4229401A1023|128578901|（癌）ペメトレキセド点滴静注液（100、500、800mg）,RINCHU_DRUG,Drug,1665,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35604787,pemetrexed 100 MG Injection,RxNorm,Drug,Clinical Drug,S,2016-05-02,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,1124401A1087,1124401A1087|1183719020101|（向）ミダゾラム注射液「テバ」　（10mg/2mL）,RINCHU_DRUG,Drug,1662,N,N,1,,,,,,,,,,,,,,
drug_source_value,InjectionData,inj_medicine_cd_yj,8119401A1020,8119401A1020|126254401|(2mg/1mL)ナルベイン注,RINCHU_DRUG,Drug,1653,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35603601,hydromorphone hydrochloride 2 MG/ML Injection,RxNorm,Drug,Clinical Drug,S,2016-05-02,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,6119401D1108,6119401D1108|118914801|ﾃｲｺﾌﾟﾗﾆﾝ注200mg｢ﾄｰﾜ｣,RINCHU_DRUG,Drug,1642,Y,Y,1,0,No matching concept,None,Metadata,Undefined,21172842,Teicoplanin 200 MG Injection,RxNorm Extension,Drug,Clinical Drug,S,2017-08-24,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3160401A6041,3160401A6041|107176401|ケイツーN静注用10mg,RINCHU_DRUG,Drug,1520,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35149121,menatetrenone 10 MG Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2133400D1082,2133400D1082|102676404|ソルダクトン注（100mg）,RINCHU_DRUG,Drug,1508,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35131246,Canrenoate 100 MG Injection,RxNorm Extension,Drug,Clinical Drug,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,3239501A3026,3239501A3026|126889801|マンニットールS注射液 （300mL）,RINCHU_DRUG,Drug,1481,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35160509,Mannitol / Sorbitol Injectable Solution,RxNorm Extension,Drug,Clinical Drug Form,S,2019-03-11,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,6419400D1037,6419400D1037|111671702|ベナンバックス注 （300mg）,RINCHU_DRUG,Drug,1460,Y,Y,1,0,No matching concept,None,Metadata,Undefined,40165118,pentamidine isethionate 300 MG Injection,RxNorm,Drug,Clinical Drug,S,2009-09-06,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2451401A1034,2451401A1034|105180301|ノルアドリナリン注（1mg/1mL）,RINCHU_DRUG,Drug,1430,Y,U,1,0,No matching concept,None,Metadata,Undefined,0,No matching concept,None,Metadata,Undefined,,1970-01-01,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,4240407A1036,4240407A1036|119544601|(癌)ロゼウス静注液（10mg、40mg）,RINCHU_DRUG,Drug,1430,Y,Y,1,0,No matching concept,None,Metadata,Undefined,35867657,vinorelbine 10 MG Injectable Solution,RxNorm Extension,Drug,Clinical Drug,S,2020-10-02,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,7224400A1034,7224400A1034|111961902|ジアグノグリーン注射用 25mg,RINCHU_DRUG,Drug,1428,Y,Y,1,0,No matching concept,None,Metadata,Undefined,21091791,Indocyanine Green 25 MG Injection,RxNorm Extension,Drug,Clinical Drug,S,2017-08-24,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,2149400A1027,2149400A1027|103031001|ペルジピン注（２，１０mg）,RINCHU_DRUG,Drug,1427,Y,Y,1,0,No matching concept,None,Metadata,Undefined,21030573,Nicardipine 1 MG/ML Injection,RxNorm Extension,Drug,Clinical Drug,S,2017-08-24,2099-12-31,
drug_source_value,InjectionData,inj_medicine_cd_yj,4291406D5024,"4291406D5024|199219901|(癌)ハーセプチン注射用(60mg,150mg)",RINCHU_DRUG,Drug,1379,Y,Y,1,0,No matching concept,None,Metadata,Undefined,40124661,trastuzumab Injectable Solution [Herceptin],RxNorm,Drug,Branded Drug Form,S,2005-09-11,2099-12-31,
