source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A11U,45563199,MEDIS_DIAGEXC_S,O99.8|下垂体腺腫合併妊娠,435875,SNOMED,1990-05-01,2099-12-31,
A11V,45543889,MEDIS_DIAGEXC_S,N72|妊娠中の子宮頚管炎,444078,SNOMED,1990-05-01,2099-12-31,
A11V,45587290,MEDIS_DIAGEXC_S,O23.5|妊娠中の子宮頚管炎,4060296,SNOMED,1990-05-01,2099-12-31,
A13S,45573226,MEDIS_DIAGEXC_S,S20.0|乳房皮下血腫,75689,SNOMED,1990-05-01,2099-12-31,
A15B,45594980,MEDIS_DIAGEXC_S,T88.8|４分の３冠破損,440005,SNOMED,1990-05-01,2099-12-31,
A15R,45571423,MEDIS_DIAGEXC_S,A31.8|非結核性抗酸菌性リンパ節炎,440631,SNOMED,1990-05-01,2099-12-31,
A162,45570139,MEDIS_DIAGEXC_S,T09.9|シートベルト損傷,194526,SNOMED,1990-05-01,2099-12-31,
A172,45605498,MEDIS_DIAGEXC_S,F45.4|心因性疼痛,44782778,SNOMED,1990-05-01,2099-12-31,
A178,45576243,MEDIS_DIAGEXC_S,A52.0|梅毒性肺動脈弁逆流症,137212,SNOMED,1990-05-01,2099-12-31,
A178,45596202,MEDIS_DIAGEXC_S,I39.3|梅毒性肺動脈弁逆流症,319845,SNOMED,1990-05-01,2099-12-31,
A17D,45580480,MEDIS_DIAGEXC_S,T88.1|ＢＣＧ副反応,4173078,SNOMED,1990-05-01,2099-12-31,
A17S,45544170,MEDIS_DIAGEXC_S,R94.7|ＡＤＨ異常,45770748,SNOMED,1990-05-01,2099-12-31,
A18J,45532818,MEDIS_DIAGEXC_S,A18.3|小腸結核,196019,SNOMED,1990-05-01,2099-12-31,
A1A9,45755876,MEDIS_DIAGEXC_S,T08.0|椎弓骨折,4170742,SNOMED,1990-05-01,2016-11-30,D
A1AL,45565277,MEDIS_DIAGEXC_S,S99.8|遠位脛腓靱帯損傷,44784105,SNOMED,1990-05-01,2099-12-31,
A1AR,45557663,MEDIS_DIAGEXC_S,K59.0|直腸性便秘,75860,SNOMED,1990-05-01,2099-12-31,
A1BD,42617476,MEDIS_DIAGEXC_S,M43.16|腰椎後方すべり症,36713107,SNOMED,2016-12-01,2099-12-31,
A1CC,45581502,MEDIS_DIAGEXC_S,G50.0|大後頭三叉神経症候群,379801,SNOMED,1990-05-01,2099-12-31,
