source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"3B175000001799801",0,"RINCHU_OBX_CD","膵アミラーゼ(P-AMY)",3016417,"LOINC",19700101,20991231,""
"3B503000001799801",0,"RINCHU_OBX_CD","マトリックスメタロプロテイナーゼ-3（MMP-3）",46235362,"LOINC",20150629,20991231,""
"3C040000001799801",0,"RINCHU_OBX_CD","アンモニア",3036887,"LOINC",19700101,20991231,""
"3D045000001799802",0,"RINCHU_OBX_CD","HbA1c [JDS]",40765129,"LOINC",19700101,20991231,""
"3D085000001799801",0,"RINCHU_OBX_CD","1,5アンヒロドグルシトール",3039499,"LOINC",20080929,20991231,""
"3E010000001799801",0,"RINCHU_OBX_CD","乳酸",3020138,"LOINC",19971218,20991231,""
"3H025000001799801",0,"RINCHU_OBX_CD","マグネシウム(Mg)",40758049,"LOINC",20090123,20991231,""
"3H040000001799801",0,"RINCHU_OBX_CD","無機リン(IP)",3011904,"LOINC",19700101,20991231,""
"3H080000001799851",0,"RINCHU_OBX_CD","pH（血液ガス）",3010421,"LOINC",19700101,20991231,""
"3I015000001799801",0,"RINCHU_OBX_CD","総鉄結合能（TIBC）",3021044,"LOINC",19700101,20991231,""
"3I060000001799802",0,"RINCHU_OBX_CD","トランスフェリン飽和度（TSAT）",3000185,"LOINC",19700101,20991231,""
"4A010000001799801",0,"RINCHU_OBX_CD","成長ホルモン（GH）",3023709,"LOINC",19700101,20991231,""
"4A020000001799801",0,"RINCHU_OBX_CD","プロラクチン（PRL）",3004722,"LOINC",19700101,20991231,""
"4A025000001799801",0,"RINCHU_OBX_CD","副腎皮質刺激ホルモン（ACTH）",3035637,"LOINC",19700101,20991231,""
"4A030000001799801",0,"RINCHU_OBX_CD","黄体形成ホルモン（LH）",3009214,"LOINC",19700101,20991231,""
"4A035000001799801",0,"RINCHU_OBX_CD","卵胞刺激ホルモン（FSH）",3023323,"LOINC",19700101,20991231,""
"4C026000001799801",0,"RINCHU_OBX_CD","副甲状腺ホルモン(Whole PTH)",1175563,"LOINC",20181214,20991231,""
"5C040000001799801",0,"RINCHU_OBX_CD","ハプトグロビン",3012336,"LOINC",19700101,20991231,""
"5C215000001799801",0,"RINCHU_OBX_CD","プロカルシトニン(PCT)",3046279,"LOINC",20030423,20991231,""
"5D018000001799851",0,"RINCHU_OBX_CD","AFP-L1%",0,"None",19700101,20991231,
"5D018000001799853",0,"RINCHU_OBX_CD","AFP-L3%",3031987,"LOINC",19700101,20991231,""
"5D120000001799801",0,"RINCHU_OBX_CD","CA15-3",3006588,"LOINC",19700101,20991231,""
"5D170000001799801",0,"RINCHU_OBX_CD","DUPAN-2",0,"None",19700101,20991231,
"5D175000001799801",0,"RINCHU_OBX_CD","シアリルLeX-i抗原(SLX)",0,"None",19700101,20991231,
"5D220000001799801",0,"RINCHU_OBX_CD","SPan-1",0,"None",19700101,20991231,
"5D320000001799801",0,"RINCHU_OBX_CD","組織ポリペプチド抗原(TPA)",40766172,"LOINC",20110214,20991231,""
